Ravne na Koroškem;46.53865758695263, 14.970226286269762
Razkrižje;46.53859380191846, 16.267630994707094
Rače - Fram;46.44962626190617, 15.652016624717076
Renče - Vogrsko;45.89663241636518, 13.680619414495814
Rečica ob Savinji;46.317838693258786, 14.904984010762222
Ribnica;45.740094648759055, 14.72543792377387
Ribnica na Pohorju;46.52847451846894, 15.262951172148949
Rogatec;46.238380058917485, 15.727651935716827
Rogaška Slatina;46.244251596443306, 15.628200512427297
Rogašovci;46.80066328713118, 16.029254316906982
Ruše;46.52569437109216, 15.503074058404957
Selnica ob Dravi;46.569148432297226, 15.493142328919115
Semič;45.65213609973877, 15.158582170060615
Sevnica;46.004020904269005, 15.284492421000063
Sežana;45.72560660738158, 13.868731824285332
Slovenj Gradec;46.49016377795135, 15.079056371264596
Slovenska Bistrica;46.41032053542531, 15.540470514961141
Slovenske Konjice;46.3310858827682, 15.448862731334934
Sodražica;45.76141484168201, 14.620132154264928
Solčava;46.415712832082164, 14.671747863924246
Središče ob Dravi;46.40056067045239, 16.25423382822361
Starše;46.453109512280705, 15.752743466470658
Straža;45.77980070818482, 15.082986197511302
Sveta Ana;46.65029358091031, 15.843904654873688
Sveta Trojica v Slov. goricah;46.57682500250553, 15.878700998458285
Sveti Andraž v Slov. goricah;46.5264010927462, 15.944782715773705
Sveti Jurij ob Ščavnici;46.568303333463, 16.024890442617465
Sveti Jurij v Slov. goricah;46.60793482205632, 15.782988363136555
Sveti Tomaž;46.482093870006196, 16.075727852954845
Tabor;46.22515152435796, 15.012134456321036
Tišina;46.65751831417719, 16.07755091825283
Tolmin;46.17368596594544, 13.763783519854234
Trbovlje;46.14157779655303, 15.044204878283345
Trebnje;45.909096124160484, 14.97655335675149
Trnovska vas;46.52172498110347, 15.887253047913132
Trzin;46.12743448983724, 14.55556010007093
Tržič;46.36576163537649, 14.307694223233108
Turnišče;46.61926617046165, 16.31806393660617
Velenje;46.364883736949444, 15.133180487223393
Velika Polana;46.576688075928, 16.348677839209852
Velike Lašče;45.83289463096729, 14.638168154556327
Veržej;46.58204835102272, 16.16605341308491
Videm;46.368149649999374, 15.89811568152134
Vipava;45.82244547359032, 13.96854022345755
Vitanje;46.39046604843685, 15.29478432155675
Vodice;46.17658546551544, 14.490206832346484
Vojnik;46.31004967210424, 15.302621038828665
Vransko;46.23610924057309, 14.945558264104363
Vrhnika;45.960742900268954, 14.279389255876426
Vuzenica;46.59809224629807, 15.16664196010856
Zagorje ob Savi;46.14741927450632, 14.945791709030717
Zavrč;46.36303789465185, 16.0474237916129
Zreče;46.39037944766622, 15.379745171286805
Črenšovci;46.559449277690575, 16.291853074515195
Črna na Koroškem;46.464402229050336, 14.829647750153756
Črnomelj;45.53673012039706, 15.184228315533185
Šalovci;46.83006595148995, 16.272845153708765
Šempeter - Vrtojba;45.91838985629897, 13.644374381522832
Šentilj;46.69192766635596, 15.715796701848403
Šentjernej;45.830072505758686, 15.331289975024802
Šentjur;46.1967809801873, 15.414155950181167
Šentrupert;45.98130710487314, 15.089356369630295
Šenčur;46.23211103104618, 14.41984169459249
Škocjan;45.913793660911686, 15.297156233570337
Škofja Loka;46.16436980956661, 14.29590847893836
Škofljica;45.96245545727153, 14.570819102063853
Šmarje pri Jelšah;46.21447060901835, 15.521516826434441
Šmarješke Toplice;45.884935086269024, 15.246658731967736
Šmartno ob Paki;46.340290347132, 15.028857047777471
Šmartno pri Litiji;46.02658101618809, 14.837756162666818
Šoštanj;46.40906115524251, 15.010407356243906
Štore;46.20017358602443, 15.326037978560253
Žalec;46.24593325667832, 15.16878883202169
Železniki;46.213270688686144, 14.114867565206788
Žetale;46.280409405328555, 15.800070900988072
Žiri;46.046964673141595, 14.115468733620569
Žirovnica;46.406488955714615, 14.162857979602487
Žužemberk;45.81147066712533, 14.931188245100895
